number,title,count,first_date,last_date,video_id,source,youtube_title,added_in_this_update
HYMN-160,罪人朋友,2,20240526,20250706,eOb7zMsA-7o,見福羅 / YouTube,PCT 2009 聖詩合唱 584 至聖救主，罪人朋友,yes
HYMN-161,耶和華要保護你,2,20240310,20260517,vij9KnhNDpo,同心圓敬拜福音平台 One Circle / YouTube,同心圓 |《耶和華要保護你》TWS 敬拜者使團 (詩一二一),yes
HYMN-162,聖哉全能主,2,20240310,20240317,ENRSR0phtxs,joehuang90 / YouTube,聖哉全能主-小羊詩歌(一粒麥子),yes
HYMN-163,與神同行,2,20250323,20251130,QzdcleDl7mY,官方頻道阡陌社區浸信會 / YouTube,阡陌社區浸信會  原創詩歌《與神同行》【Official Lyrics MV】,yes
HYMN-164,選擇上主祝福,2,20210620,20250112,sDUBnxyvCdw,Penelope Chan / YouTube,選擇上主祝福  普天頌讚新修訂版 第724首  霍顯煒  申命記 30：15-20,yes
HYMN-165,My God,1,20211024,20211024,lzRW_HgT9G8,Joshua Band 約書亞樂團 / YouTube,"【主我神나의 하나님 / My Lord, My God】 | 박우정 | Live Worship - 璽恩 SiEnVanessa",yes
HYMN-166,My King,1,20211024,20211024,l8E2xNp_GCk,Y H V H / YouTube,My King - New Creation Worship,yes
HYMN-167,做個天父的小精兵,1,20230521,20230521,mMWttLRJgaE,基恩敬拜 Amazing Grace Worship / YouTube,《做個天父的小精兵》- 祈禱仔兒童敬拜系列 基恩敬拜AGWMM,yes
HYMN-168,全獻在壇上,1,20231231,20231231,UR_k4KSJjmw,Penelope Chan / YouTube,全獻在壇上  青年聖歌合訂本第一册 第52首,yes
HYMN-169,十架七言,1,20260201,20260201,ahz3WNruOjE,m2kmusic / YouTube,『 十架七言 』 團契遊樂園3 薪火永傳（基督教詩歌）,yes
HYMN-170,十架的愛,1,20240303,20240303,dfVQ2nbrPnM,讚美之泉 Stream Of Praise Music Ministries / YouTube,【十架的愛 Great Is Your Love】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (17),yes
HYMN-171,在至高之處,1,20240922,20240922,azxcXb-7TfA,讚美之泉 Stream Of Praise Music Ministries / YouTube,【在至高之處 In the Highest】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (21),yes
HYMN-172,基督是主,1,20260308,20260308,HMIRMam_CqY,Y H / YouTube,基督是主詩歌   若,yes
HYMN-173,奉獻甚麼,1,20241124,20241124,6xMj-UwlJiM,SYUCFC / YouTube,奉獻甚麼,yes
HYMN-174,最美好盡力愛祢,1,20220130,20220130,Rc78LOgNt5M,同心圓敬拜福音平台 One Circle / YouTube,同心圓 |《最美好...盡力愛祢》TWS 敬拜者使團「獻給祢」Live (可十二),yes
HYMN-175,榮耀神羔羊,1,20250907,20250907,bdTgrrXQW94,馮麗娟 / YouTube,榮耀神羔羊 - KUA Worship,yes
HYMN-176,樂歌榮神,1,20250112,20250112,edBrAMpsOFg,Penelope Chan / YouTube,樂歌榮神   普天頌讚新修訂版 第93首  譚靜芝,yes
HYMN-177,歌頌父神偉大權能,1,20260503,20260503,2thztf2dXRo,Teresa / YouTube,歌頌父神偉大權能,yes
HYMN-178,上帝請差遣我,51,20250601,20260517,rW1mbFso9TQ,TTV酸先生 / YouTube,榮美耶穌/讚美三一上帝/請差遣我 - 240524晚堂敬拜,yes
HYMN-179,奮起之歌,2,20210822,20211128,xnhuZgkWx4M,gato chen / YouTube,奮起之歌,yes
HYMN-180,愛主更深,2,20220501,20260301,1KxgjgqxD_M,Bee-Chung Chen / YouTube,愛主更深,yes
HYMN-181,懇求降臨,2,20211212,20221211,doRkvw4gUKY,Jennifer Ou / YouTube,高雄正義教會 聖歌隊 「永望耶穌懇求降臨」,yes
HYMN-182,我們渴望的耶穌,2,20231210,20241201,pOrOdTWqhh4,聖詩共享 HymnShare / YouTube,"【我們渴望的耶穌】Come, Thou Long-Expected Jesus (粵語 聖詩) Cantonese Hymn",yes
HYMN-183,我全然獻上,2,20240602,20250921,zPw4JLB_AJ4,讚美之泉 Stream Of Praise Music Ministries / YouTube,【我全然獻上 This Is My Offering】現場敬拜MV (Worship MV) - 讚美之泉敬拜讚美 (28),yes
HYMN-184,我心靈得安寧,2,20240428,20240512,XC8OsGnoisg,KUA GLOBAL 跨越 / YouTube,【我心靈得安寧／내 영혼 평안해 】李聖雅 ASHLEY｜ONE ACCORD,yes
HYMN-185,我曾捨命為你,2,20220306,20250406,ZbLm4LZ7Nxc,傳統聖詩 Traditional Hymns / YouTube,我曾捨命為你 I Gave My Life for Thee｜生命聖詩126（國語）,yes
HYMN-186,我的千古保障,2,20240414,20260517,ioXkZuWQ0Ms,Tsz-Lam Mak / YouTube,頌恩旋律【我的千古保障】歌詞版 MV,yes
HYMN-187,我的生命獻給祢,2,20220227,20220424,x5elrTM-t6k,讚美之泉 Stream Of Praise Music Ministries / YouTube,【我的生命獻給祢 I Will Offer You My Life】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (26),yes
HYMN-188,我要一心稱謝祢,2,20240310,20240922,Ai5QugWvJwg,讚美之泉 Stream Of Praise Music Ministries / YouTube,【讚美之泉 feat. 柳子駿牧師】我要一心稱謝祢｜ 讚美之泉,yes
HYMN-189,我要忠誠,2,20220403,20230226,LPjtd7aHF2o,Y H / YouTube,我要忠誠 基督是主詩歌(第三集),yes
HYMN-190,我靈頌讚天上君王,2,20210919,20250629,XsR3B-OAODg,旺角浸信會 / YouTube,"【詩•情•説】我靈頌讚天上君王 Praise, My Soul, the King of Heaven",yes
HYMN-191,我願像祢,2,20211226,20250824,whkfCmX0MSg,Roni Songbook / YouTube,主我願像祢 O To Be Like Thee - Thomas O. Chisholm / 分享聖樂團 [ 動態歌詞 ]  @roni-songbook,yes
HYMN-192,救贖的恩典,2,20240107,20250907,WxrAYIaLQOk,讚美之泉 Stream Of Praise Music Ministries / YouTube,【救贖的恩典 The Grace of Redemption】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (17),yes
HYMN-193,新耶路撒冷,2,20221030,20251214,PO0-QmW54kI,讚美之泉 Stream Of Praise Music Ministries / YouTube,【新耶路撒冷 New Jerusalem】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (17),yes
HYMN-194,是為了我罪,2,20220417,20260405,Mt7CHPlMtqw,HKACM Official 香港基督徒音樂事工協會 / YouTube,"【是為了我罪】""齊唱短歌4"" Official Lyric Video - 官方完整版",yes
HYMN-195,普世歡騰,2,20211226,20221218,1UKYcSzroio,天韻合唱團 Heavenly Melody / YouTube,【普世歡騰組曲】天韻合唱團 Official MV,yes
HYMN-196,最大的福分,2,20240505,20250202,bqKLaKS-C9I,讚美之泉 Stream Of Praise Music Ministries / YouTube,【最大的福分 The Blessing】現場敬拜MV (Live Worship MV) - 讚美之泉敬拜讚美 (26),yes
HYMN-197,有福的人,2,20230122,20240616,tGjYQ6f-Pqg,小羊詩歌 / YouTube,【中英字幕】有福的人 | F調 | 小羊詩歌,yes
HYMN-198,有福的國,2,20231015,20240616,tEe5su-O25Q,天韻合唱團 Heavenly Melody / YouTube,【有福的國 】天韻合唱團 Official MV,yes
HYMN-199,榮耀歸於真神,2,20221106,20250105,Hd5CF76Qe1Q,Grace Music / YouTube,榮耀歸於真神 To God Be the Glory,yes
HYMN-200,每天的禱告,2,20230806,20240811,mnMhfwq4QwA,橄欖枝 / YouTube,每天的禱告 - 澆灌園子音樂事工,yes
HYMN-201,永恆聖光,2,20240128,20260215,SkC6-UDbH1A,Penelope Chan / YouTube,"上主, 永恆聖光  普天頌讚新修訂版 第197首  蔡張敬玲",yes
HYMN-202,永約的神,2,20211024,20250504,JcK3DnrXF0o,HKACM Official 香港基督徒音樂事工協會 / YouTube,【永約的神】HKACM Official Music Video,yes
HYMN-203,求主給這世代看見異象,2,20210704,20250518,7CSnTSZKIh8,Milk&Honey Worship / YouTube,求主給這世代看見異象,yes
HYMN-204,注目看耶穌,2,20220403,20230319,u1V5BpkHhEQ,讚美之泉 Stream Of Praise Music Ministries / YouTube,【讚美之泉/注目看耶穌/愛，我願意/更深之處/Thou Art Worthy 主祢配得】｜讚美之泉 《天堂敬拜 ACOUSTIC》,yes
HYMN-205,無言的讚頌,2,20220508,20241201,5gyQFFRFEiA,WAM Worship 沙田浸信會崇拜及聖樂事工 / YouTube,2020 新編 ｜無言的讚頌(遍地充滿) official lyrics Video,yes
HYMN-206,獨一的真神,2,20230129,20240204,RnLhO50LSwU,新心音樂事工 New Heart Music Ministries / YouTube,獨一的真神 One True God (新心音樂事工),yes
HYMN-207,獻上今天,2,20211017,20240922,ZW6SM5K1MhQ,HKACM Official 香港基督徒音樂事工協會 / YouTube,獻上今天 - 蘇如紅 (文化中心管弦樂Live),yes
HYMN-208,獻給我天上的主,2,20220403,20230115,0rh6R51MRls,同心圓敬拜福音平台 One Circle / YouTube,同心圓 |《獻給我天上的主》TWS 敬拜者使團 (同心唱系列 | 歌詞領唱版),yes
HYMN-209,當讚美聖父,2,20250525,20251026,amOj84e3URw,香港聖詩會 Hong Kong Hymn Society / YouTube,當讚美聖父 Praise Ye the Father - 十周年聖詩頌唱會「頌」,yes
HYMN-210,偉大永生神,1,20220619,20220619,I6QjlvXLYpQ,香港聖樂促進會 / YouTube,【聖詩薈萃】偉大永生神(粵) - 普天頌讚新修訂本542首,yes
HYMN-211,全為祢傾倒,1,20251005,20251005,rxE4p6Fqcx0,RainbowPromise / YouTube,【全為祢傾倒】[全然為你]粵語版,yes
HYMN-212,全能右手,1,20230702,20230702,mRyGXSC5QPo,Penelope Chan / YouTube,全能右手歌  普天頌讚 第571首  黃永熙,yes
HYMN-213,再次將我更新,1,20220626,20220626,6o262bSdFAg,小羊詩歌 / YouTube,【中英字幕】再次將我更新 | A調 | 小羊詩歌《再次將我更新》專輯,yes
HYMN-214,向耶穌祈求,1,20260517,20260517,vferiN3Jcm8,HKACM Official 香港基督徒音樂事工協會 / YouTube,向耶穌祈求﹣齊唱兒歌DVD (官方動作版),yes
HYMN-215,如鹿切慕溪水,1,20240609,20240609,NHwHhEWEG_0,開路者視頻 Kairos Media / YouTube,如鹿切慕溪水 As The Deer,yes
HYMN-216,尋求祢面,1,20240825,20240825,6pKyphrDclA,建道神學院新祢呈敬拜隊 / YouTube,〈尋求祢面〉【建道神學院新祢呈敬拜隊詩歌創作】,yes
HYMN-217,對我說話,1,20211017,20211017,7NhRgi_Bccc,天韻合唱團 Heavenly Melody / YouTube,【對我說話-字幕版MV】天韻合唱團Official MV,yes
HYMN-218,憑信跨過,1,20240929,20240929,a9E7ZHvQNmE,More of Jesus Worship (更多有耶穌的敬拜) / YouTube,憑信跨過 | 鹹蛋音樂事工 SEMM | 歌詞MV,yes
HYMN-219,我們來到主面前,1,20240630,20240630,msVlVp52qsw,Jennifer Poon / YouTube,讚之歌_我們來到主面前,yes
HYMN-220,我們呼求,1,20240414,20240414,CigLPfxQ7Sc,讚美之泉 Stream Of Praise Music Ministries / YouTube,【我們呼求 We Cry Out】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12A),yes
HYMN-221,我們愛因為神先愛,1,20230514,20230514,szBB3WqM9x4,基恩敬拜 Amazing Grace Worship / YouTube,《我們愛因為神先愛》We love because God first loved us - 基恩敬拜AGWMM official MV,yes
HYMN-222,永恆國度,1,20210606,20210606,r-ZgxbHyenA,HKACM Official 香港基督徒音樂事工協會 / YouTube,【永恆國度】全是祢的 - 齊唱敬拜讚美(11) ACM Official Lyric Video,yes
HYMN-223,求聖靈光照,1,20230219,20230219,vx7YbwU8Mqo,Heaven / YouTube,求聖靈光照,yes
HYMN-224,泰理士卡農 The Tallis Canon,1,20240630,20240630,DnUbfPZBGKc,manfung li / YouTube,泰理士卡農 The Tallis Canon (曲詞：Thomas Tallis Arr. by Douglas E. Wagner；中文歌詞：高蔡慧君),yes
HYMN-225,活祭獻呈,1,20250504,20250504,V6dcQOuUsAA,HK詩歌2021 / YouTube,活祭獻呈,yes
HYMN-226,深恩厚愛,1,20250928,20250928,ySMMe-FbERI,YWAM Gateway Worship / YouTube,主深恩厚愛 Goodness of God | 粵語歌詞影片 Cantonese Lyric Video | 粵語原聲敬拜 Living Room Session,yes
HYMN-227,燃亮這生光采,1,20240310,20240310,5wbM2sGbwaU,HKACM - Topic / YouTube,燃亮這生光采,yes
HYMN-228,耶和華尼西,1,20250615,20250615,ZhCk1rgIAJ8,More of Jesus Worship (更多有耶穌的敬拜) / YouTube,耶和華尼西 | 李漫渟 Manting(Deborah) Lee | 原始和聲 Raw Harmony | 歌詞MV,yes
HYMN-229,耶和華是我的牧者,1,20230212,20230212,hA9ulk2JVjU,水流之音聖樂團SOLSO / YouTube,11 耶和華是我的牧者,yes
HYMN-230,自耶穌來住在我心,1,20220220,20220220,6AvjcXHPQpo,KUA GLOBAL 跨越 / YouTube,KUA MUSIC 【自耶穌來住在我心 / Since Jesus Came Into My Heart】蔡佳靈,yes
HYMN-231,若非耶和華,1,20250622,20250622,o30mL1Ojbcs,Tracey Chui / YouTube,若非耶和華,yes
HYMN-232,萬國讚美,1,20251109,20251109,bxghhrxuvbU,中華基督教音樂敬拜讚美協會 / YouTube,【萬國讚美 / All Nations Praise】邵益波/《獻上》共同創作專輯,yes
HYMN-233,請堅固我,1,20231203,20231203,s0h93HvF3aY,基恩敬拜 Amazing Grace Worship / YouTube,《請堅固我》Lord Please Strengthen Me 基恩敬拜 AGWMM Official MV,yes
HYMN-234,讓我讚美祢,1,20250518,20250518,f-PySFUv5Uw,ngaitinwai / YouTube,讓我讚美祢創造主     曲詞：魏天威,yes
HYMN-235,讓讚美飛揚,1,20231015,20231015,LAokJhXevr8,讚美之泉 Stream Of Praise Music Ministries / YouTube,【讓讚美飛揚  Let Praise Arise 古典版】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (1),yes
HYMN-236,讚美主名,1,20251012,20251012,2WQ1w7YFBFk,wamax1000 / YouTube,ECCSKC Choir 讚美主名,yes
HYMN-237,獻上頌讚,2,20210711,20230903,7akSZyq4PpA,Serene workshop / YouTube,獻上頌讚（粵語詩歌）,yes
HYMN-238,生命活水充滿我,2,20240331,20250601,dD3-QDAOnMg,讚美之泉 Stream Of Praise Music Ministries / YouTube,【生命活水充滿我 Living Water】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12A),yes
HYMN-239,當轉眼仰望耶穌,2,20231001,20251207,ByzWCbDQzQQ,GOOD TV DAILY / YouTube,史茵茵 - 當轉眼仰望耶穌,yes
HYMN-240,盡心盡性讚美祂,2,20220123,20240728,TAhJpJZr7ns,讚美的時刻 / YouTube,盡心盡性讚美祂（粵語詩歌）,yes
HYMN-241,祂救了我,2,20210606,20240204,gwcyVNjOLAo,Jennifer Poon / YouTube,青年新歌_祂救了我,yes
HYMN-242,神祢名尊貴,2,20231008,20231119,UQfAOwKTfmA,如此我信後製音樂事工 | The HOPE Music Ministry  / YouTube,神祢名尊貴｜2023年復活期詩歌分享,yes
HYMN-243,神臨在的器皿,2,20231015,20231029,hsErxZyNDsw,教會司琴培訓中心Church Pianist Training Centre / YouTube,神臨在的器皿,yes
HYMN-244,神配得尊稱,2,20240225,20250824,_jGNzLo2TMQ,澳門白鴿巢浸信會 Macau Pak Kap Chao Baptist Church / YouTube,神配得尊稱︱You Are Worthy︱詩班獻詩︱澳門白鴿巢浸信會,yes
HYMN-245,祢坐著為王,2,20250622,20251026,vPEGa8KGZmI,生命河 ROLCC Media / YouTube,你坐著為王 You Sit On The Throne 生命河敬拜讚美系列 2 動態 MV,yes
HYMN-246,祢是恆久不變,2,20220821,20260419,LejjkpWT7zA,m2kmusic / YouTube,『祢是恆久不變』 團契遊樂園10 耶穌，我深愛你（基督教詩歌）,yes
HYMN-247,祢的慈愛,2,20240512,20250330,CtEmco5_7Ys,讚美之泉 Stream Of Praise Music Ministries / YouTube,【祢的慈愛 Unfailing Love】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (11J),yes
HYMN-248,稱頌主為王,2,20230409,20260405,re3ouJU6sjA,中華基督教長老會台北信友堂 / YouTube,台北信友堂主日崇拜獻詩-禧爾詩班(稱頌主為王！)2016.11.27,yes
HYMN-249,立志擺上,2,20221106,20221225,WLtqi4s29LQ,建道神學院新祢呈敬拜隊 / YouTube,〈立志擺上〉建道神學院新祢呈敬拜隊 官方歌詞版MV (曲詞:DJS 編曲:古丹青),yes
HYMN-250,義人的路,2,20220821,20241013,tjxFw28Lp5E,Jennifer Poon / YouTube,天韻詩歌_義人的路,yes
HYMN-251,耶和華是愛,2,20220821,20250209,z-SF-RvTF5Q,iTabernacle.net會幕文化 / YouTube,【詩歌】耶和華是愛（詩篇23篇）,yes
HYMN-252,耶和華祢是我的神,2,20250202,20260111,y3QzV2WE-qw,讚美之泉 Stream Of Praise Music Ministries / YouTube,"【耶和華祢是我的神 Jehovah, You Are My God】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (5)",yes
HYMN-253,耶穌不改變,2,20220703,20220828,kFJpJs0y2ck,Teresa古今詩歌Hymns♬ / YouTube,"【耶穌不改變】Yesterday,Today,Forever│詞：Albert B. Simpson│曲：J. H. Burke│鋼琴：朱素雲│頌唱：Teresa Huang#WorshipSongs",yes
HYMN-254,耶穌愛你,2,20220515,20230521,OSjjpGHiozM,讚美之泉 Stream Of Praise Music Ministries / YouTube,【耶穌愛你 Jesus Loves You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (5),yes
HYMN-255,耶穌的愛,2,20220109,20250309,RVA_Le5AJtk,讚美之泉 Stream Of Praise Music Ministries / YouTube,【耶穌的愛 The Love of Jesus】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (12P),yes
HYMN-256,聖潔的祢,2,20230924,20240707,RGbw2Nxh5dk,HKACM Official 香港基督徒音樂事工協會 / YouTube,【聖潔的祢】HKACM Official Music Video,yes
HYMN-257,聽命勝於獻祭,2,20220807,20251012,uO1wRrH-ZiQ,Matthew Lee / YouTube,《聽命勝於獻祭》Demo｜Matthew Lee,yes
HYMN-258,與主合一,2,20220605,20240602,9DBrF7iidaU,Rev Tommy Tam / YouTube,與主合一(聖餐),yes
HYMN-259,興起為耶穌,2,20210822,20230108,-WJ0r95w6O4,多伦多基督福音堂 / YouTube,377 興起為耶穌,yes
HYMN-260,萬有都歸祢,2,20240929,20241103,SOXdBgXWw4M,同心圓敬拜福音平台 One Circle / YouTube,同心圓 |《萬有都歸祢》TWS 敬拜者使團 (同心唱系列 | 歌詞領唱版),yes
HYMN-261,萬物的結局近了,2,20240128,20260503,9b4BNQLj06A,dsan36 / YouTube,萬物的結局近了,yes
HYMN-262,萬王之王萬主之主,2,20221106,20221120,-NiycB70174,Jennifer Poon / YouTube,新歌頌揚79萬王之王萬主之主,yes
HYMN-263,萬福源頭,2,20230430,20240421,Qy85IAWenIs,chinglianglee / YouTube,"萬福源頭 Come, Thou Fount of Every Blessing",yes
HYMN-264,向基督歡呼,1,20230611,20230611,1ZJxgyPqzxg,福音未來 Project EVA / YouTube,向基督歡呼 頌樂樂 6 All Hail King Jesus 樂譜純音樂學習版,yes
HYMN-265,愛伴我高飛,1,20250720,20250720,YaUocCvsfeQ,MIC 好耶音樂 / YouTube,MIC (好耶音樂) //流行詩歌系列// - 01 愛伴我高飛 Official MV,yes
HYMN-266,慈繩愛索,1,20260125,20260125,g0W4TYQX7NM,基恩敬拜 Amazing Grace Worship / YouTube,"《慈繩愛索》The Rein Of Love, The Rope Of Grace 基恩敬拜 AGWMM Official MV",yes
HYMN-267,慶賀主受膏為王,1,20231203,20231203,dt0m_1rrxgw,Arthur Lee / YouTube,096 慶賀主受膏為王,yes
HYMN-268,我能給祢什麼,1,20250817,20250817,ozwcBC4Or8o,讚美之泉 Stream Of Praise Music Ministries / YouTube,【我能給你什麼 What Could I Bring To You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (29),yes
HYMN-269,我要一生一世住在袮聖殿,1,20230312,20230312,SMK-OFG3fH8,WN X 玻璃海樂團 X PHOTIC / YouTube,我要一生一世住在你聖殿 (LIVE Version),yes
HYMN-270,擁戴榮耀羊羔,1,20251116,20251116,P5aZ45ICk_U,Nottingham Chinese Christian Church / YouTube,Crown him with many crowns 擁戴榮耀羊羔,yes
HYMN-271,擁戴耶穌為王,1,20250420,20250420,7FdnLj7hZvM,生命河 ROLCC Media / YouTube,擁戴耶穌為王 Crown Him with Many Crowns（生命河敬拜讚美系列 9 【神已經成就了】）小組敬拜用,yes
HYMN-272,新的異象,1,20260104,20260104,mHSSuQA3LQo,讚美之泉 Stream Of Praise Music Ministries / YouTube,【新的異象，新的方向 Give Us Vision】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (20),yes
HYMN-273,更像我恩主,1,20230101,20230101,6YHdzBYqSO8,宇宙光百人大合唱 / YouTube,更像我恩主,yes
HYMN-274,最好的福氣,1,20240519,20240519,HcpvUZoIv70,角聲使團 The Heralders / YouTube,角聲使團 The Heralders《最好的福氣》[Official Lyric Video],yes
HYMN-275,最好的路徑,1,20260517,20260517,wfAmoadlCo0,同心圓敬拜福音平台 One Circle / YouTube,同心圓 |《最好的路徑》 | TWS 敬拜者使團 X SeeK敬拜小羊 (林後四),yes
HYMN-276,祈求我恩主 Be Thou My Vision,1,20211024,20211024,rDcGb0N484Y,香港聖公會主誕堂聖樂部 HKSKHHNC Sacred Music / YouTube,《祈求我恩主》（Be Thou My Vision）｜曲：John Rutter｜詞：梁孟傑｜粵語詩歌｜SKHHNCC,yes
HYMN-277,神是我們的避難所,1,20250629,20250629,remr_E98swY,Joseph / YouTube,神是我們的避難所,yes
HYMN-278,神聖嬰孩,1,20231224,20231224,V_V-DyTGUU0,Heaven / YouTube,神聖嬰孩 The Holy Child,yes
HYMN-279,聖潔耶穌,1,20260329,20260329,U2gJD4kpsSw,香港聖詩會 Hong Kong Hymn Society / YouTube,"啊 ! 聖潔耶穌 Ah, Holy Jesus - 第八屆聖詩頌唱會「耶穌基督　道路、真理、生命」",yes
HYMN-280,萬有高歌,1,20240728,20240728,meZVDWLfg0s,DHBC Gabriel / YouTube,萬有高歌 Let All Creation Sing,yes
HYMN-281,萬王之王,1,20221106,20221106,SlIyPb3siHM,旌旗音樂 Banner Music / YouTube,【萬王之王 King of Kings】Worship cover｜旌旗音樂,yes
HYMN-282,誰會差派一個嬰孩？,1,20231217,20231217,75ijGDyimfI,主馨園 / YouTube,誰會差派一個嬰孩,yes
HYMN-283,請差遣我,1,20220731,20220731,0zsxMkeEOL0,GOOD TV 好音樂 / YouTube,【我在這請差遣我 - 白裡透紅】官方歌詞MV | 好音樂金傳獎,yes
HYMN-284,謝謝祢的愛,1,20251228,20251228,x5PC2zb_kLM,基恩敬拜 Amazing Grace Worship / YouTube,《謝謝祢的愛》Thank You for Your Love 基恩敬拜 AGWMM Official MV,yes
HYMN-285,讚嘆主恩,1,20251005,20251005,pIzmcYDfnTM,Esmond Lim / YouTube,讚嘆主恩 （2015_05_24_BUCC）,yes
HYMN-286,表彰我主大能,2,20220116,20220612,vkxho-5XEUM,Hymn Share / YouTube,"表彰我主大能 Tell Out, My Soul, the Greatest of the Lord (粵語 Cantonese)",yes
HYMN-287,親眼看見祢,2,20221002,20260118,r6OF36e0-f4,基恩敬拜 Amazing Grace Worship / YouTube,《親眼看見祢》My eyes have seen You 詩班版  - 基恩敬拜AGWMM official MV,yes
HYMN-288,觀看宇宙,2,20221023,20241027,mD9mRX9nN2k,"Christian Choir, HKU / YouTube",觀看宇宙 Look at the World,yes
HYMN-289,讓我得見祢的榮面,2,20241006,20250223,jvI7dY6Mz-0,讚美之泉 Stream Of Praise Music Ministries / YouTube,【讓我得見祢的榮面 See You Face to Face】現場敬拜MV (Live Worship MV) - 讚美之泉敬拜讚美 (21),yes
HYMN-290,讚美中信心不斷升起,2,20251214,20251221,yFQn424qMKg,讚美之泉 Stream Of Praise Music Ministries / YouTube,【讚美中信心不斷升起 Let Faith Arise In Our Praises】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (27),yes
HYMN-291,這一生最美的祝福,2,20220918,20260222,tPf7Ig1ebL4,讚美之泉 Stream Of Praise Music Ministries / YouTube,【這一生最美的祝福 The Gift of Knowing You】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (8),yes
HYMN-292,這樣的愛,2,20250413,20250525,2IhwdWRMqFI,cowcow coke / YouTube,這樣的愛,yes
HYMN-293,願祢國度降臨,2,20220703,20230205,5QmE9psO71g,讚美之泉 Stream Of Praise Music Ministries / YouTube,【願祢國度降臨 When Your Kingdom Comes】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (20),yes
HYMN-294,EMMANUEL,1,20221218,20221218,PQuq4umpb3Q,Tommee Profitt / YouTube,O Come O Come Emmanuel - Tommee Profitt [OFFICIAL MUSIC VIDEO],yes
HYMN-295,Gloria 榮耀頌,1,20241215,20241215,BGzWSk7wIBQ,山嵐合唱團 / YouTube,《Gloria榮耀頌》山嵐合唱團,yes
HYMN-296,Hallelujah 讚美主,1,20240519,20240519,QAQ2T9QAT2g,HKACM Official 香港基督徒音樂事工協會 / YouTube,【Hallelujah讚美主】HKACM 兒童事工 Official Music Video｜齊唱兒歌 2（官方完整CD版）,yes
HYMN-297,Immanuel,1,20241222,20241222,oKuKKE-WOK0,Joaquín Yoyaquim / YouTube,Immanuel-Songs Of Praise (subtitulado),yes
HYMN-298,Joy in the Morning,1,20230430,20230430,uysGt7JVw9U,Tauren Wells / YouTube,"Tauren Wells, Elevation Worship - Joy In The Morning (Worship Version)",yes
HYMN-299,Thy Praise I Sing,1,20211024,20211024,8dvfhpxl35w,Audiobook Passion / YouTube,My God My King Thy Praise I Sing - Henry Francis Lyte,yes
HYMN-300,一生一世同在,1,20220904,20220904,YLxLKxGWlqw,Worship Music-AM  / YouTube,一生一世同在,yes
HYMN-301,一生不枉過,1,20240908,20240908,E266iLVEa4A,如此我信後製音樂事工 | The HOPE Music Ministry  / YouTube,一生不枉過,yes
HYMN-302,一生之久,1,20260426,20260426,XHHxo4kErEQ,鹹蛋音樂事工Salted Egg Music Ministry / YouTube,一生之久 - 鹹蛋音樂事工SEMM🍳//《刻在祢心底的名字》 Mini-Album 8th Track,yes
HYMN-303,一生信靠,1,20211031,20211031,QQmZcmaah-A,Terence Ss  Channel / YouTube,一生信靠 (1982) cover,yes
HYMN-304,一生愛祢,1,20260215,20260215,fgHBHUPiaJI,讚美之泉 Stream Of Praise Music Ministries / YouTube,【一生愛祢 With All My Love】官方歌詞版MV (Official Lyrics MV) - 讚美之泉敬拜讚美 (9),yes
HYMN-305,一直都是祢,1,20241215,20241215,y7K-rMz3fUM,HTBBChurch / YouTube,一直都是祢 It's Always Been You // HTBB 敬拜,yes
HYMN-306,千古保障,1,20220710,20220710,Hek9LKSnDss,Teresa古今詩歌Hymns♬ / YouTube,"【千古保障】O God, Our Help in Ages Past│詞：Isaac Watts│曲：William Croft│鋼琴：Julie Ann Kitchen│頌唱：Teresa H.",yes
HYMN-307,只見耶穌,1,20230305,20230305,fJHzFVC2RH8,如此我信後製音樂事工 | The HOPE Music Ministry  / YouTube,只見耶穌,yes
HYMN-308,同心合意,1,20240623,20240623,KYSq-eyBP7o,拉蓊‧進成Daong Cinceng / YouTube,馬立雲部落同心合意讚美主,yes
HYMN-309,宣教的中國,1,20231126,20231126,iRZDbba6JBM,神国赞美诗God's love / YouTube,《宣教的中國》China's Mission 讚美詩 Grace Music 中文字幕《宣教的中国》,yes
